,Element-type,Size,Shape,Data-type
AwakeEventData,group,,,
AwakeEventData/AIRTR01,group,,,
AwakeEventData/AIRTR01/Acq,group,,,
AwakeEventData/AIRTR01/Acq/numericPosition,dataset,1.0,"(1,)",float32
AwakeEventData/AIRTR02,group,,,
AwakeEventData/AIRTR02/Acq,group,,,
AwakeEventData/AIRTR02/Acq/numericPosition,dataset,1.0,"(1,)",float32
AwakeEventData/AWAKEInjPhaseShifter,group,,,
AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback,group,,,
AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback/phaseACurrentValue,dataset,1.0,"(1,)",float32
AwakeEventData/BLMITT41,group,,,
AwakeEventData/BLMITT41/Acquisition,group,,,
AwakeEventData/BLMITT41/Acquisition/acqDesc,dataset,1.0,"(1,)",|S1
AwakeEventData/BLMITT41/Acquisition/acqMsg,dataset,1.0,"(1,)",|S1
AwakeEventData/BLMITT41/Acquisition/acqState,dataset,1.0,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/acqTime,dataset,1.0,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/alarmStatus,dataset,40.0,"(40,)",int16
AwakeEventData/BLMITT41/Acquisition/blrSignalStatus,dataset,40.0,"(40,)",int16
AwakeEventData/BLMITT41/Acquisition/calLosses,dataset,40.0,"(40,)",float32
AwakeEventData/BLMITT41/Acquisition/calLosses_unit,dataset,1.0,"(1,)",|S4
AwakeEventData/BLMITT41/Acquisition/calLosses_unitExponent,dataset,1.0,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/calThresholds,dataset,40.0,"(40,)",float32
AwakeEventData/BLMITT41/Acquisition/channelNames,dataset,15.0,"(15,)",|S15
AwakeEventData/BLMITT41/Acquisition/deviceName,dataset,1.0,"(1,)",|S5
AwakeEventData/BLMITT41/Acquisition/enableExtFlagBIC,dataset,2.0,"(2,)",int32
AwakeEventData/BLMITT41/Acquisition/measStamp,dataset,1.0,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/nbOfChannels,dataset,1.0,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/nbOfMeas,dataset,1.0,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/normLosses,dataset,40.0,"(40,)",float32
AwakeEventData/BLMITT41/Acquisition/observables,dataset,1.0,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/rawLosses,dataset,40.0,"(40,)",int16
AwakeEventData/BLMITT41/Acquisition/superCycleNb,dataset,1.0,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/totalGains,dataset,5.0,"(5,)",int32
AwakeEventData/BOVWA.01TCC4.AWAKECAM01,group,,,
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,group,,,
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamIntensity,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamSize,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogX,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogY,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/height,dataset,1.0,"(1,)",int32
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAmp,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAvg,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjSigma,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjection,dataset,2048.0,"(2048,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageRawData,dataset,2211840.0,"(1080, 2048)",int16
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageTimeStamp,dataset,1.0,"(1,)",int64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityAvg,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityHistogram,dataset,1000.0,"(1000,)",int32
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityRMS,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensitySigma,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/pixelSize,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAmp,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAvg,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjSigma,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjection,dataset,1080.0,"(1080,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/width,dataset,1.0,"(1,)",int32
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,group,,,
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/delayTime,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/exposureTime,dataset,1.0,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/gain,dataset,1.0,"(1,)",int64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/triggerMode,dataset,1.0,"(1,)",|S2
AwakeEventData/BOVWA.01TCV4.CAM8,group,,,
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,group,,,
